[1/26] animation-generator...
[2/26] canvas-video...
[3/26] filmmaking...
[4/26] image-to-video...
[5/26] interactive-video...
[6/26] music-video-generator...
[7/26] short-drama...
[8/26] text-to-video...
[9/26] video-clipping...
[10/26] video-editor...
[11/26] video-effects...
[12/26] video-generator...
[13/26] video-to-video...
[14/26] video...
[15/26] avatar...
[16/26] background-changer...
[17/26] headshot-generator...
[18/26] image-editor...
[19/26] image-enhancer...
[20/26] image-generator...
[21/26] image-relighting...
[22/26] image...
[23/26] logo-generator...
[24/26] poster-generator...
[25/26] social-cards-generator...
[26/26] tattoo-generator...
SUMMARY {'OK': 21, 'SWITCH': 5, 'AMBIGUOUS': 0, 'NEEDS_REVIEW': 0}
SWITCH: ['music-video-generator', 'text-to-video', 'video-clipping', 'video-effects', 'video']
